init_top20,bo_top20
-12.5,-12.399999618530272
-11.5,-12.300000190734863
-11.3,-11.699999809265137
-11.2,-11.399999618530272
-11.1,-11.399999618530272
-10.2,-11.100000381469728
-10.0,-11.100000381469728
-10.0,-10.699999809265137
-9.9,-10.199999809265137
-9.7,-10.199999809265137
-9.5,-10.100000381469728
-9.5,-10.0
-9.3,-9.899999618530272
-9.3,-9.899999618530272
-9.1,-9.699999809265137
-9.1,-9.699999809265137
-8.9,-9.600000381469728
-8.7,-9.399999618530272
-8.7,-9.300000190734863
-8.4,-9.199999809265137
