init_top30,bo_top30
-11.199999809265137,-12.899999618530272
-10.399999618530272,-12.399999618530272
-10.199999809265137,-12.100000381469728
-10.0,-11.800000190734863
-10.0,-11.699999809265137
-10.0,-11.0
-10.0,-10.800000190734863
-9.800000190734863,-10.800000190734863
-9.800000190734863,-10.699999809265137
-9.699999809265137,-10.699999809265137
-9.600000381469728,-10.5
-9.5,-10.399999618530272
-9.5,-10.300000190734863
-9.399999618530272,-10.199999809265137
-9.399999618530272,-10.199999809265137
-9.399999618530272,-10.199999809265137
-9.199999809265137,-10.199999809265137
-9.199999809265137,-10.199999809265137
-9.100000381469728,-10.100000381469728
-8.899999618530273,-10.0
-8.800000190734863,-9.899999618530272
-8.699999809265137,-9.800000190734863
-8.699999809265137,-9.800000190734863
-8.699999809265137,-9.800000190734863
-8.699999809265137,-9.699999809265137
-8.699999809265137,-9.699999809265137
-8.699999809265137,-9.699999809265137
-8.600000381469727,-9.600000381469728
-8.5,-9.5
-8.300000190734863,-9.5
