init_top40,bo_top40
-6.6,-6.199999809265137
-6.4,-6.199999809265137
-6.0,-5.900000095367432
-5.9,-5.900000095367432
-5.9,-5.900000095367432
-5.7,-5.800000190734863
-5.7,-5.800000190734863
-5.7,-5.699999809265137
-5.6,-5.699999809265137
-5.5,-5.699999809265137
-5.5,-5.599999904632568
-5.5,-5.5
-5.5,-5.5
-5.4,-5.5
-5.4,-5.5
-5.4,-5.5
-5.4,-5.400000095367432
-5.4,-5.400000095367432
-5.3,-5.300000190734863
-5.3,-5.300000190734863
-5.3,-5.300000190734863
-5.1,-5.199999809265137
-5.1,-5.099999904632568
-5.1,-5.099999904632568
-5.1,-5.099999904632568
-5.1,-5.099999904632568
-5.0,-5.0
-4.9,-5.0
-4.9,-5.0
-4.9,-4.900000095367432
-4.9,-4.800000190734863
-4.9,-4.800000190734863
-4.9,-4.800000190734863
-4.8,-4.699999809265137
-4.7,-4.599999904632568
-4.7,-4.599999904632568
-4.7,-4.400000095367432
-4.7,-4.400000095367432
-4.6,-4.300000190734863
-4.6,-4.300000190734863
