init_top30,bo_top30
-11.300000190734863,-11.600000381469728
-10.800000190734863,-11.5
-10.600000381469728,-10.600000381469728
-10.600000381469728,-10.5
-10.399999618530272,-10.399999618530272
-10.399999618530272,-10.399999618530272
-10.399999618530272,-10.300000190734863
-10.100000381469728,-10.300000190734863
-9.899999618530272,-10.300000190734863
-9.899999618530272,-10.300000190734863
-9.899999618530272,-10.199999809265137
-9.800000190734863,-10.199999809265137
-9.800000190734863,-10.100000381469728
-9.800000190734863,-10.100000381469728
-9.600000381469728,-10.100000381469728
-9.600000381469728,-10.100000381469728
-9.5,-10.0
-9.399999618530272,-9.899999618530272
-9.399999618530272,-9.800000190734863
-9.199999809265137,-9.800000190734863
-9.199999809265137,-9.800000190734863
-9.199999809265137,-9.699999809265137
-9.100000381469728,-9.699999809265137
-9.0,-9.699999809265137
-9.0,-9.600000381469728
-8.899999618530273,-9.600000381469728
-8.899999618530273,-9.600000381469728
-8.899999618530273,-9.600000381469728
-8.899999618530273,-9.5
-8.800000190734863,-9.5
