init_top20,bo_top20
-9.699999809265137,-11.800000190734863
-9.5,-11.800000190734863
-9.0,-11.199999809265137
-8.600000381469727,-11.199999809265137
-8.600000381469727,-11.199999809265137
-8.600000381469727,-11.0
-8.5,-10.800000190734863
-8.5,-10.699999809265137
-8.0,-10.600000381469728
-7.900000095367432,-10.600000381469728
-7.900000095367432,-10.600000381469728
-7.599999904632568,-10.600000381469728
-7.5,-10.5
-7.5,-10.399999618530272
-7.5,-10.199999809265137
-7.300000190734863,-10.199999809265137
-7.300000190734863,-10.199999809265137
-7.300000190734863,-10.199999809265137
-7.099999904632568,-10.199999809265137
-7.099999904632568,-10.100000381469728
