init_top20,bo_top20
-11.100000381469728,-12.0
-11.100000381469728,-11.899999618530272
-11.0,-11.699999809265137
-10.899999618530272,-11.600000381469728
-10.800000190734863,-11.5
-10.699999809265137,-11.5
-10.600000381469728,-11.5
-10.600000381469728,-11.399999618530272
-10.600000381469728,-11.399999618530272
-10.600000381469728,-11.300000190734863
-10.399999618530272,-11.300000190734863
-10.399999618530272,-11.300000190734863
-10.300000190734863,-11.300000190734863
-10.300000190734863,-11.199999809265137
-10.300000190734863,-11.199999809265137
-10.199999809265137,-11.100000381469728
-10.199999809265137,-11.0
-10.199999809265137,-11.0
-10.100000381469728,-11.0
-9.899999618530272,-11.0
