init_top20,bo_top20
-8.5,-8.100000381469727
-8.199999809265137,-8.0
-8.199999809265137,-7.900000095367432
-8.0,-7.599999904632568
-7.699999809265137,-7.5
-7.599999904632568,-7.5
-7.599999904632568,-7.5
-7.599999904632568,-7.5
-7.599999904632568,-7.199999809265137
-7.599999904632568,-7.099999904632568
-7.5,-7.0
-7.5,-7.0
-7.5,-7.0
-7.5,-6.900000095367432
-7.5,-6.900000095367432
-7.400000095367432,-6.800000190734863
-7.300000190734863,-6.800000190734863
-7.300000190734863,-6.800000190734863
-7.300000190734863,-6.800000190734863
-7.099999904632568,-6.699999809265137
