init_top40,bo_top40
-10.399999618530272,-9.100000381469728
-10.199999809265137,-8.699999809265137
-9.899999618530272,-8.600000381469727
-9.0,-8.600000381469727
-8.800000190734863,-8.600000381469727
-8.800000190734863,-8.5
-8.600000381469727,-8.399999618530273
-8.600000381469727,-8.300000190734863
-8.300000190734863,-8.300000190734863
-8.100000381469727,-8.199999809265137
-7.699999809265137,-8.100000381469727
-7.599999904632568,-7.900000095367432
-7.599999904632568,-7.800000190734863
-7.599999904632568,-7.300000190734863
-7.300000190734863,-6.800000190734863
-7.300000190734863,-6.800000190734863
-7.300000190734863,-6.800000190734863
-7.300000190734863,-6.599999904632568
-7.099999904632568,-6.5
-7.099999904632568,-6.400000095367432
-7.0,-6.400000095367432
-7.0,-6.099999904632568
-6.900000095367432,-6.0
-6.900000095367432,-5.800000190734863
-6.800000190734863,-5.800000190734863
-6.800000190734863,-5.800000190734863
-6.800000190734863,-5.5
-6.699999809265137,-5.400000095367432
-6.699999809265137,-5.400000095367432
-6.599999904632568,-5.300000190734863
-6.599999904632568,-5.099999904632568
-6.5,-4.900000095367432
-6.5,-4.599999904632568
-6.5,-4.5
-6.5,-4.300000190734863
-6.300000190734863,-4.199999809265137
-6.300000190734863,-4.099999904632568
-6.300000190734863,-4.0
-6.300000190734863,-3.799999952316284
-6.199999809265137,-3.5
